structure_id	structure_name	acronym	loc	acronym_upper	Left_hemisphere	Right_hemisphere	Undefined_hemisphere	source	coldcuts_acronym	coldcuts_id	coldcuts_name	coldcuts
4049	GRe_gyrus rectus, Right	GRe	NA	GRE	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9161	PRF_Pontine Reticular Formation, Left	PRF	NA	PRF	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4284	HCd_Head of Caudate Nucleus, Right	HCd	NA	HCD	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4155	ITG-mts_inferior temporal gyrus, Right, bank of mts	ITG	mts	ITG	FALSE	TRUE	FALSE	ABA_dataset_adult	ITG	12142	inferior temporal gyrus	TRUE
4395	DTA_Anterior Group of Nuclei, Left	DTA	NA	DTA	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9565	IO_inferior olivary complex, Right	IO	NA	IO	FALSE	TRUE	FALSE	ABA_dataset_adult	IO	12600	inferior olive	TRUE
4556	PrOR_Preoptic Region, Right	PrOR	NA	PROR	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9016	ICjl_interstitial nucleus of Cajal, Left	ICjl	NA	ICJL	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4014	PrG-il_precentral gyrus, Left, inferior lateral aspect of gyrus	PrG	il	PRG	TRUE	FALSE	FALSE	ABA_dataset_adult	PRG	146034892	perirhinal gyrus ( rostral part of FuGt)	TRUE
4154	ITG-l_inferior temporal gyrus, Right, lateral bank of gyrus	ITG	l	ITG	FALSE	TRUE	FALSE	ABA_dataset_adult	ITG	12142	inferior temporal gyrus	TRUE
4685	MB_Mammillary Body, Right	MB	NA	MB	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4708	Ve-VIIB_VIIB	Ve	VIIB	VE	FALSE	FALSE	TRUE	ABA_dataset_adult	NA	NA	NA	NA
4464	DTLd_Lateral group of Nuclei, Right, Dorsal Division	DTLd	NA	DTLD	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4346	BLA_Basolateral Nucleus, Right	BLA	NA	BLA	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4040	trIFG_Inferior frontal gyrus, triangular part, Right	trIFG	NA	TRIFG	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4018	PrG-sl_precentral gyrus, Right, superior lateral aspect of gyrus	PrG	sl	PRG	FALSE	TRUE	FALSE	ABA_dataset_adult	PRG	146034892	perirhinal gyrus ( rostral part of FuGt)	TRUE
4379	LA_Lateral Nucleus, Left	LA	NA	LA	TRUE	FALSE	FALSE	ABA_dataset_adult	La	10367	lateral nucleus	TRUE
4512	R_Reticular Nucleus of Thalamus, Right	R	NA	R	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4109	SMG-s_supramarginal gyrus, Right, superior bank of gyrus	SMG	s	SMG	FALSE	TRUE	FALSE	ABA_dataset_adult	SMG	12135	supramarginal gyrus	TRUE
4757	PV-Crus II_Crus II, Right Paravermis	PV	Crus II	PV	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4230	CgGp-s_Cingulate gyrus, parietal part, Left, superior bank of gyrus	CgGp	s	CGGP	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9521	Arc_arcuate nucleus of medulla, Right	Arc	NA	ARC	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9077	SNC_Substantia Nigra, pars compacta, Right	SNC	NA	SNC	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4774	He-VIIB_VIIB, Right Lateral Hemisphere	He	VIIB	HE	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4072	PCLa_paracentral lobule, anterior part, Left	PCLa	NA	PCLA	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4274	SIG_Short Insular Gyri, Right	SIG	NA	SIG	FALSE	TRUE	FALSE	ABA_dataset_adult	SIG	12178	short insular gyri	TRUE
4298	GPe_globus pallidus, external segment, Right	GPe	NA	GPE	FALSE	TRUE	FALSE	ABA_dataset_adult	GPe	10343	external segment of globus pallidus	TRUE
4172	PLT_planum temporale, Left	PLT	NA	PLT	TRUE	FALSE	FALSE	ABA_dataset_adult	PLT	12145	planum temporale	TRUE
4089	PoG-il_postcentral gyrus, Left, inferior lateral aspect of gyrus	PoG	il	POG	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4233	CgGp-s_Cingulate gyrus, parietal part, Right, superior bank of gyrus	CgGp	s	CGGP	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4644	ARH_Arcuate Nucleus of the Hypothalamus, Left	ARH	NA	ARH	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4166	HG_Heschls gyrus, Left	HG	NA	HG	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9178	SOC_Superior Olivary Complex, Left	SOC	NA	SOC	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4127	PCLp-l_paracentral lobule, posterior part, Left, lateral bank of gyrus	PCLp	l	PCLP	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4701	Ve-III_III	Ve	III	VE	FALSE	FALSE	TRUE	ABA_dataset_adult	NA	NA	NA	NA
4785	Glo_Globose Nucleus, Left	Glo	NA	GLO	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4048	GRe_gyrus rectus, Left	GRe	NA	GRE	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
9558	12_hypoglossal nucleus, Left	12	NA	12	TRUE	FALSE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
4304	SptN_Septal nuclei, Right	SptN	NA	SPTN	FALSE	TRUE	FALSE	ABA_dataset_adult	NA	NA	NA	NA
